candidate_id,candidate_type,target_mode,members,fold_mape_mean,fold_mape_std,mape,r2,rmse,mae,prediction_min,prediction_max,prediction_mean,prediction_std,low_decile_mape,prediction_range_check,eligible_for_final,decision_score
BLEND_LOG_HGB_MEAN_TOP3_MLP_SUPPORT_D_SEED_AVERAGE_HGB75_MLP25,hgb_mlp_log_blend,mixed_log,HGB_MEAN_TOP3:0.75 | MLP_SUPPORT_D_SEED_AVERAGE:0.25,0.09642326079869222,0.0011587100470737777,0.09642326079869223,0.9671658388079354,0.08966379211595357,0.03424710689762743,0.02363693016512006,4.961391436615424,0.32252464981182233,0.40028643419263327,0.1414600303229491,True,True,0.09228265763289682
BLEND_LOG_LOCAL_HGB_MEAN_TOP3_MLP_SUPPORT_D_SEED_AVERAGE_HGB75_MLP25,hgb_mlp_log_local_blend,mixed_log,HGB_MEAN_TOP3:0.75 | MLP_SUPPORT_D_SEED_AVERAGE:0.25,0.09642326079869222,0.0011587100470737777,0.09642326079869223,0.9671658388079354,0.08966379211595357,0.03424710689762743,0.02363693016512006,4.961391436615424,0.32252464981182233,0.40028643419263327,0.1414600303229491,True,True,0.09228265763289682
BLEND_LOG_LOCAL_HGB_MEAN_TOP4_MLP_SUPPORT_BD_AVERAGE_HGB77_MLP23,hgb_mlp_log_local_blend,mixed_log,HGB_MEAN_TOP4:0.77 | MLP_SUPPORT_BD_AVERAGE:0.23,0.09656674293565091,0.0009188023614511236,0.09656674293565093,0.9667368873335942,0.0902475836853622,0.03437035857964272,0.02386614490247611,4.948913553788654,0.3225172191267542,0.3994068535020119,0.1414776164254911,True,True,0.09228433991585364
BLEND_RAW_HGB_SOFT_TOP3_MLP_SUPPORT_B_SEED_AVERAGE_HGB74_MLP26,hgb_mlp_raw_blend,mixed_log,HGB_SOFT_TOP3:0.74 | MLP_SUPPORT_B_SEED_AVERAGE:0.26,0.09672389223335483,0.0006722830758941643,0.09672389223335483,0.9681699133050742,0.08828218025612654,0.03421025189870587,0.02381607194741736,5.029968595995905,0.3238003061654847,0.40229604539847996,0.1426721550387307,True,True,0.09228641251236595
BLEND_RAW_LOCAL_HGB_SOFT_TOP3_MLP_SUPPORT_B_SEED_AVERAGE_HGB74_MLP26,hgb_mlp_raw_local_blend,mixed_log,HGB_SOFT_TOP3:0.74 | MLP_SUPPORT_B_SEED_AVERAGE:0.26,0.09672389223335483,0.0006722830758941643,0.09672389223335483,0.9681699133050742,0.08828218025612654,0.03421025189870587,0.02381607194741736,5.029968595995905,0.3238003061654847,0.40229604539847996,0.1426721550387307,True,True,0.09228641251236595
BLEND_LOG_HGBPAIR_HGB_MEAN_TOP5_HGB_SOFT_TOP5_MLP_SUPPORT_B_SEED_AVERAGE_MLP22,hgb_pair_mlp_log_blend,mixed_log,HGB_MEAN_TOP5:0.51 | HGB_SOFT_TOP5:0.27 | MLP_SUPPORT_B_SEED_AVERAGE:0.22,0.09663255954228532,0.0008182241029260349,0.09663255954228533,0.9671988831074273,0.08961866193860293,0.03434619526633845,0.02396047791780103,5.014167437492379,0.3228232254110508,0.40043337386782246,0.14219428648384308,True,True,0.09228749958850381
BLEND_RAW_HGB_SOFT_TOP4_MLP_SUPPORT_TE_E_SEED_42_HGB75_MLP25,hgb_mlp_raw_blend,mixed_log,HGB_SOFT_TOP4:0.75 | MLP_SUPPORT_TE_E_SEED_42:0.25,0.09646696318019028,0.0011059180343287371,0.09646696318019028,0.9685736860874004,0.08772045214809256,0.033943413416203494,0.024547285047741556,5.09905869840576,0.32352473949641863,0.4014616712354834,0.14265403922403708,True,True,0.09228764557035052
BLEND_RAW_LOCAL_HGB_SOFT_TOP4_MLP_SUPPORT_TE_E_SEED_42_HGB75_MLP25,hgb_mlp_raw_local_blend,mixed_log,HGB_SOFT_TOP4:0.75 | MLP_SUPPORT_TE_E_SEED_42:0.25,0.09646696318019028,0.0011059180343287371,0.09646696318019028,0.9685736860874004,0.08772045214809256,0.033943413416203494,0.024547285047741556,5.09905869840576,0.32352473949641863,0.4014616712354834,0.14265403922403708,True,True,0.09228764557035052
BLEND_RAW_HGB_MEAN_TOP5_MLP_SUPPORT_TE_E_SEED_42_HGB77_MLP23,hgb_mlp_raw_blend,mixed_log,HGB_MEAN_TOP5:0.77 | MLP_SUPPORT_TE_E_SEED_42:0.23,0.09646417667750296,0.0011113320843714966,0.09646417667750296,0.9686365849172127,0.08763262324526343,0.033928274743261565,0.024632467521808574,5.121044030024025,0.3234913477878531,0.4016567757454109,0.14317254128018084,True,True,0.09228779300353979
BLEND_RAW_LOCAL_HGB_MEAN_TOP5_MLP_SUPPORT_TE_E_SEED_42_HGB77_MLP23,hgb_mlp_raw_local_blend,mixed_log,HGB_MEAN_TOP5:0.77 | MLP_SUPPORT_TE_E_SEED_42:0.23,0.09646417667750296,0.0011113320843714966,0.09646417667750296,0.9686365849172127,0.08763262324526343,0.033928274743261565,0.024632467521808574,5.121044030024025,0.3234913477878531,0.4016567757454109,0.14317254128018084,True,True,0.09228779300353979
