feature,abs_correlation_with_target,missing_values,unique_values
FE_pressure_x_liquid_volume,0.02533404511912571,0,9951
FE_obstacle_area_over_distance_sq,0.02461411237709797,0,290
FE_pressure_over_distance,0.023066381859452124,0,9989
FE_pressure_x_inv_distance,0.023066381859452124,0,9989
Obstacle Thickness (m),0.015052393979826675,0,70
FE_critical_minus_vapour_temp,0.01481219664791721,40,7968
FE_vapour_temp_to_critical,0.014296693787663137,40,8515
FE_sensor_xy_ratio,0.010903161697557128,0,3759
FE_vapour_superheat_over_boiling,0.010243663012617123,40,7911
FE_pressure_x_projected_obstacle_area,0.009406431709006971,0,7251
FE_shielded_pressure_distance_proxy,0.009174870088018622,0,9989
FE_obstacle_between_sensor_proxy,0.006798378759991237,0,2
FE_pressure_x_temp_ratio,0.006736723862954228,40,9930
FE_pressure_over_liquid_ratio,0.00474051580011238,0,7733
FE_pressure_x_obstacle_cos,0.003779234068294533,0,7062
FE_pressure_x_liquid_fraction,0.0033682017339026604,0,7607
FE_pressure_x_liquid_ratio,0.0033682017339026604,0,7607
FE_liquid_height_proxy,0.003350454211001585,0,366
Vapour Temperature (K),0.0033189865821000313,20,7910
Tank Failure Pressure (bar),0.0030653976550961627,0,3216
FE_failure_to_critical_pressure,0.001871291992694398,20,4604
