candidate_id,candidate_type,target_mode,members,use_target_encoding,te_smoothing,fold_mape_mean,fold_mape_std,mape,r2,rmse,mae,prediction_min,prediction_max,prediction_mean,prediction_std,prediction_range_check,decision_score
MLP_SUPPORT_BD_AVERAGE,mlp_seed_average,log,MLP_SUPPORT_B_SEED_AVERAGE | MLP_SUPPORT_D_SEED_AVERAGE,False,,0.08987365548077664,0.0016841631708444896,0.08987365548077665,0.9743126335832475,0.07930743971762946,0.030975076046970584,0.019051399307351467,5.640299335116207,0.3302519797664389,0.42581576790871467,True,0.08601259021536711
MLP_SUPPORT_B_SEED_AVERAGE,mlp_seed_average,log,MLP_SUPPORT_B_SEED_7 | MLP_SUPPORT_B_SEED_21 | MLP_SUPPORT_B_SEED_42 | MLP_SUPPORT_B_SEED_100 | MLP_SUPPORT_B_SEED_2026,False,,0.09346914129346279,0.001430189562766131,0.09346914129346279,0.9727989772251329,0.08161063488555617,0.032373641443321784,0.01912431316892939,5.691360222593098,0.33072797284512234,0.4264944170084524,True,0.0894632601449968
MLP_SUPPORT_D_SEED_AVERAGE,mlp_seed_average,log,MLP_SUPPORT_D_SEED_7 | MLP_SUPPORT_D_SEED_42 | MLP_SUPPORT_D_SEED_2026,False,,0.09380108736165325,0.0035372314244449263,0.09380108736165327,0.9730260538977827,0.08126927437297066,0.03203060360094606,0.018915987850135322,5.545471972659125,0.32936799262031247,0.42521181556716353,True,0.0910582959468313
MLP_SUPPORT_TE_E_SEED_42,mlp_support_te,log,MLP_SUPPORT_TE_E_SEED_42,True,35.0,0.10429903345357124,0.00273424297806143,0.10429903345357125,0.9706389576319162,0.08478907048572165,0.03534249555478202,0.019861391563576372,6.073103727419249,0.33067308093977377,0.4293156948476165,True,0.10108638445224852
MLP_SUPPORT_D_SEED_7,mlp_support,log,MLP_SUPPORT_D_SEED_7,False,,0.10831024011965809,0.005339153301512176,0.10831024011965808,0.9670250025803053,0.08985588470268592,0.037271168296466525,0.019570176929435915,5.650674543341667,0.32924132106084536,0.4252055483123901,True,0.10667860708766386
MLP_SUPPORT_D_SEED_2026,mlp_support,log,MLP_SUPPORT_D_SEED_2026,False,,0.1095918731248187,0.004336002608185847,0.10959187312481872,0.9620727135346163,0.09636737415216412,0.037560272414391485,0.017921271766569734,5.414812214887266,0.3283715707613341,0.41907521009628196,True,0.10738311112205715
MLP_SUPPORT_TE_E_SEED_2026,mlp_support_te,log,MLP_SUPPORT_TE_E_SEED_2026,True,35.0,0.10864350903676781,0.008383508389376721,0.10864350903676781,0.9656013871116358,0.0917750446527353,0.037418851337982284,0.018922942023570862,5.7891788872058,0.3330046777231639,0.4315159286701383,True,0.10884560713483565
MLP_SUPPORT_B_SEED_7,mlp_support,log,MLP_SUPPORT_B_SEED_7,False,,0.11232667517985676,0.006650741686219809,0.11232667517985676,0.965560392889477,0.09182971439106583,0.03870567786977568,0.016971476102611002,5.6798387086701485,0.3287625667387067,0.42765786959352214,True,0.11148931822714125
MLP_SUPPORT_D_SEED_42,mlp_support,log,MLP_SUPPORT_D_SEED_42,False,,0.11186438116758417,0.007661202024088097,0.11186438116758415,0.9665609279925491,0.09048597027301124,0.03814823254961286,0.01925651485440031,5.57092915974844,0.3304910860387581,0.43490792053055044,True,0.11162829774207426
MLP_SUPPORT_B_FINE_SEED_21,mlp_support,log,MLP_SUPPORT_B_FINE_SEED_21,False,,0.11340259499839331,0.005571247881868087,0.11340259499839331,0.9616398795144108,0.0969156963791538,0.03949882842662964,0.02041164377775074,5.098443718722439,0.32742984816917986,0.413135753717952,True,0.1119371443299421
MLP_SUPPORT_B_SEED_42,mlp_support,log,MLP_SUPPORT_B_SEED_42,False,,0.1128535640646289,0.008943850007796008,0.1128535640646289,0.9644870852755054,0.09324966894610114,0.03886536443578855,0.017906863038643216,5.872310743941187,0.3286752154473666,0.4252861552493535,True,0.11339743864292898
MLP_SUPPORT_B_SEED_100,mlp_support,log,MLP_SUPPORT_B_SEED_100,False,,0.1166473563116093,0.00578884552997132,0.11664735631160932,0.9608999542241993,0.09784593154745513,0.040403791850436355,0.02036600441289622,5.57836978715512,0.3332286382762213,0.43357067070912897,True,0.11531616385847111
MLP_SUPPORT_B_SEED_2026,mlp_support,log,MLP_SUPPORT_B_SEED_2026,False,,0.11602089528303627,0.008342059580544051,0.11602089528303627,0.961559408320012,0.09701729715515145,0.039755913139825,0.01824957094784757,5.983306185753231,0.3317599292160073,0.42919985012905015,True,0.11621833398976264
MLP_SUPPORT_B_FINE_SEED_42,mlp_support,log,MLP_SUPPORT_B_FINE_SEED_42,False,,0.11827215316451725,0.007562882892199209,0.11827215316451724,0.9605425888995182,0.09829205901964272,0.04115926565589217,0.019965967696452487,5.6122940183910455,0.32965816874837217,0.4187456796364394,True,0.11800716995533918
MLP_SUPPORT_B_SEED_21,mlp_support,log,MLP_SUPPORT_B_SEED_21,False,,0.12085103343230344,0.004137534832204859,0.12085103343230343,0.9545042981979417,0.10554540330896428,0.04325129491649933,0.01928997708342726,5.342975687445804,0.33121351454730985,0.42733975728442947,True,0.11856103284063663
