candidate_id,candidate_type,target_mode,members,use_target_encoding,te_smoothing,fold_mape_mean,fold_mape_std,mape,r2,rmse,mae,prediction_min,prediction_max,prediction_mean,prediction_std,prediction_range_check,eligible_for_final,decision_score
HGB_MEAN_TOP5,hgb_mean,mixed_hgb,HGB_LOG_D7_LR020_L2_08_UNWEIGHTED | HGB_LOCAL_LOG_D6_LR028_L2_04_SQRT_SEED_21 | HGB_LOG_D6_LR035_L2_03_UNWEIGHTED | HGB_LOCAL_LOG_D7_LR021_L2_075_SQRT_SEED_2026 | HGB_TE_LOG_D6_LR025_L2_05_UNWEIGHTED_S35,,,0.10414988213853427,0.0014482334990190931,0.10414988213853428,0.9612185152317653,0.09744652477258081,0.03740224698656671,0.025534436356263762,4.915596643733151,0.3213461547684482,0.3952372875976252,True,True,0.100067906311885
HGB_SOFT_TOP5,hgb_soft_weighted,mixed_hgb,HGB_LOG_D7_LR020_L2_08_UNWEIGHTED | HGB_LOCAL_LOG_D6_LR028_L2_04_SQRT_SEED_21 | HGB_LOG_D6_LR035_L2_03_UNWEIGHTED | HGB_LOCAL_LOG_D7_LR021_L2_075_SQRT_SEED_2026 | HGB_TE_LOG_D6_LR025_L2_05_UNWEIGHTED_S35,,,0.10422686027942259,0.0014595176038247224,0.10422686027942257,0.9611326025250166,0.09755440180869694,0.037432094996704565,0.025531872517906735,4.91863293321456,0.3213939386082593,0.3952793383201027,True,True,0.10015095606870986
HGB_MEAN_TOP4,hgb_mean,mixed_hgb,HGB_LOG_D7_LR020_L2_08_UNWEIGHTED | HGB_LOCAL_LOG_D6_LR028_L2_04_SQRT_SEED_21 | HGB_LOG_D6_LR035_L2_03_UNWEIGHTED | HGB_LOCAL_LOG_D7_LR021_L2_075_SQRT_SEED_2026,,,0.10492645888457616,0.0015218022044871243,0.10492645888457619,0.9602542518781222,0.09865054239191064,0.03777697870993127,0.02552770698182355,4.91061280967729,0.3210456798046658,0.39398922381965923,True,True,0.10088608872742913
HGB_SOFT_TOP4,hgb_soft_weighted,mixed_hgb,HGB_LOG_D7_LR020_L2_08_UNWEIGHTED | HGB_LOCAL_LOG_D6_LR028_L2_04_SQRT_SEED_21 | HGB_LOG_D6_LR035_L2_03_UNWEIGHTED | HGB_LOCAL_LOG_D7_LR021_L2_075_SQRT_SEED_2026,,,0.1049534434075973,0.001523072553583181,0.10495344340759731,0.9602642645149372,0.09863811572597761,0.0377711620714799,0.025525435820922836,4.914943343205465,0.3211419590153002,0.3941988766122665,True,True,0.10091365836181422
HGB_MEAN_TOP3,hgb_mean,mixed_hgb,HGB_LOG_D7_LR020_L2_08_UNWEIGHTED | HGB_LOCAL_LOG_D6_LR028_L2_04_SQRT_SEED_21 | HGB_LOG_D6_LR035_L2_03_UNWEIGHTED,,,0.10566857079656022,0.0015331112635388515,0.10566857079656024,0.9605470519505405,0.09828649992608003,0.03798184613066134,0.025459219611649347,4.921950552841799,0.3212685885021022,0.39518984554401876,True,True,0.10163239116857696
HGB_SOFT_TOP3,hgb_soft_weighted,mixed_hgb,HGB_LOG_D7_LR020_L2_08_UNWEIGHTED | HGB_LOCAL_LOG_D6_LR028_L2_04_SQRT_SEED_21 | HGB_LOG_D6_LR035_L2_03_UNWEIGHTED,,,0.10569579695675288,0.001549624452909269,0.10569579695675288,0.9604671318153375,0.098385999415422,0.03798929591556412,0.025464527734453672,4.926185862122524,0.3213662611158823,0.39532405499208567,True,True,0.10166827352413083
HGB_MEAN_TOP2,hgb_mean,mixed_hgb,HGB_LOG_D7_LR020_L2_08_UNWEIGHTED | HGB_LOCAL_LOG_D6_LR028_L2_04_SQRT_SEED_21,,,0.10617473435209168,0.0017116958901550394,0.10617473435209168,0.9593283358024214,0.09979300742303733,0.03832172508974849,0.02559585299392257,4.995488615077603,0.3209106012078796,0.3937487030191112,True,True,0.1022339406181571
HGB_SOFT_TOP2,hgb_soft_weighted,mixed_hgb,HGB_LOG_D7_LR020_L2_08_UNWEIGHTED | HGB_LOCAL_LOG_D6_LR028_L2_04_SQRT_SEED_21,,,0.10619771802471714,0.0017000096871735725,0.10619771802471714,0.9593403865908833,0.09977822227053454,0.03830923798878759,0.025587365210786698,4.9929065735234195,0.32109362112703815,0.3941234814539981,True,True,0.1022510209353495
HGB_LOW_PRESSURE_AWARE_BLEND,hgb_low_pressure_blend,mixed_hgb,HGB_LOG_D7_LR020_L2_08_UNWEIGHTED | HGB_LOCAL_LOG_D6_LR028_L2_04_SQRT_SEED_42,,,0.10791408485538015,0.001675745050826026,0.10791408485538015,0.9574229653563102,0.10210378573416162,0.0389106665289625,0.025158803532114284,4.971195748970786,0.3221897933316569,0.39661373374255665,True,True,0.1039648425540116
HGB_LOG_D7_LR020_L2_08_UNWEIGHTED,hgb_single,log,HGB_LOG_D7_LR020_L2_08_UNWEIGHTED,False,,0.10941367188049571,0.0017170113616127264,0.10941367188049571,0.9567919901303248,0.1028575726521017,0.039448868899851344,0.025489415683896167,5.057233349133943,0.3232056819804035,0.39884336528663245,True,True,0.10548821761065044
HGB_LOG_D6_LR035_L2_03_UNWEIGHTED,hgb_single,log,HGB_LOG_D6_LR035_L2_03_UNWEIGHTED,False,,0.11004640165950305,0.0012413855046457406,0.11004640165950308,0.9603536704334624,0.09852708471774183,0.039219010404762694,0.025185952847102892,4.774874428370191,0.32198456309054735,0.39844306536098983,True,True,0.10586532605965865
HGB_LOCAL_LOG_D6_LR028_L2_04_SQRT_SEED_21,hgb_single,log,HGB_LOCAL_LOG_D6_LR028_L2_04_SQRT_SEED_21,False,,0.10991331172039236,0.0017464885605748839,0.10991331172039237,0.9560239924646634,0.10376766364363268,0.040374724540813395,0.025702290303948973,5.027867571161237,0.3186155204353556,0.389523460849191,True,True,0.1060064360383565
HGB_LOCAL_LOG_D6_LR028_L2_04_SQRT_SEED_100,hgb_single,log,HGB_LOCAL_LOG_D6_LR028_L2_04_SQRT_SEED_100,False,,0.11045260615563826,0.0011165304844507585,0.11045260615563823,0.9525422906422125,0.10779721122343947,0.04069054168692753,0.024898305887926783,4.687701328646998,0.3193269714043124,0.3884288974828864,True,True,0.10624815994465255
HGB_LOCAL_LOG_D7_LR021_L2_075_SQRT_SEED_2026,hgb_single,log,HGB_LOCAL_LOG_D7_LR021_L2_075_SQRT_SEED_2026,False,,0.11018007976050892,0.0017806265227031583,0.1101800797605089,0.9547028907359293,0.10531479412656228,0.04015313881336859,0.025733169092346166,4.876599580183763,0.3203769537123567,0.3907491955908423,True,True,0.10629687856818085
HGB_TE_LOG_D6_LR025_L2_05_UNWEIGHTED_S35,hgb_single_te,log,HGB_TE_LOG_D6_LR025_L2_05_UNWEIGHTED_S35,True,35.0,0.11029802948675907,0.0016992845723386378,0.11029802948675908,0.959574282171383,0.09949081982351876,0.03927591882821892,0.02493526108545315,5.145987564218761,0.32254805462357783,0.4009433322718738,True,True,0.10634980036207149
HGB_LOCAL_LOG_D7_LR021_L2_075_SQRT_SEED_7,hgb_single,log,HGB_LOCAL_LOG_D7_LR021_L2_075_SQRT_SEED_7,False,,0.11037223681967434,0.0018544959586745777,0.11037223681967434,0.9544835815156382,0.10556943087250305,0.03998508499554835,0.025978534954939198,4.75830947973372,0.3193704914748094,0.3902060949326149,True,True,0.10652706689143343
HGB_LOG_D6_LR025_L2_05_UNWEIGHTED,hgb_single,log,HGB_LOG_D6_LR025_L2_05_UNWEIGHTED,False,,0.11063774575845424,0.0014147342947025817,0.11063774575845427,0.9567737631598732,0.10287926520713007,0.0396653456615819,0.024817683230838404,5.002212868235438,0.3223910565512132,0.3987464221981655,True,True,0.10656124409000618
